appid,name,playtime_forever,img_icon_url,content_descriptorids,user_id,has_community_visible_stats,has_leaderboards,playtime_2weeks,logros_ganados,logros_totales,porcentaje_completado
366240,GAROU: MARK OF THE WOLVES,1073865,0940266c09476bb48f160be222e370ebed8c5315,,76561198048165534,True,True,6104.0,25,28,89.28571428571429
730,Counter-Strike 2,749353,8dbc71957312bbd3baea65848b545be9eae2a355,"[2, 5]",76561199080934614,True,,,1,1,100.0
1267910,Melvor Idle,621639,88eca64c662c128de095b4e452881398ac71969c,,76561198014898339,True,,,86,86,100.0
730,Counter-Strike 2,575615,8dbc71957312bbd3baea65848b545be9eae2a355,"[2, 5]",76561197984432884,True,,1446.0,1,1,100.0
1085660,Destiny 2,533973,fce050d63f0a2f8eb51b603c7f30bfca2a301549,,76561197986603983,True,,,23,23,100.0
730,Counter-Strike 2,487598,8dbc71957312bbd3baea65848b545be9eae2a355,"[2, 5]",76561198023414915,True,,,1,1,100.0
312660,Sniper Elite 4,421042,3a1dbbf59326c0bb78113db7ac0d70b9988b3ce8,"[2, 5]",76561198014898339,True,,,31,85,36.470588235294116
1465360,SnowRunner,301058,4ce4d517dc626f3137ffbf5179e797ddb0e7aee0,,76561198014898339,True,,,37,37,100.0
582660,Black Desert,300048,bf5ccace0a692720984827bf042143d0d4b28a42,"[1, 5]",76561198014898339,,,,0,0,0.0
47870,Need for Speed: Hot Pursuit,300032,4066e98d482110d2ee745d3a415d80d36336eb33,,76561198062673538,,,,0,0,0.0
24870,Need for Speed: SHIFT,300032,ac95a6c31c5ccb1a9d201c47437d25f0a5ac3c9a,,76561198062673538,,,,0,0,0.0
24740,Burnout Paradise: The Ultimate Box,300003,eca9b0f2936018e277ee68450cd4fa8d1d3ca3e7,,76561198062673538,,,,0,0,0.0
17430,Need for Speed: Undercover,300001,851262b86d0cabde463381f1524a39492b662d06,,76561198062673538,,,,0,0,0.0
47920,Shift 2 Unleashed,300000,b2a4ffa34fa5b677575788c4944e5671fab76ec2,,76561198062673538,,,,0,0,0.0
113400,APB Reloaded,243570,9bb8bd1b727f3b93f70351e0902139d4a3679ec6,,76561198023414915,True,,,54,60,90.0
440,Team Fortress 2,224436,f568912870a4684f9ec76277a1a404dda6bab213,,76561198046160451,True,True,2.0,398,520,76.53846153846153
1147690,NGU IDLE,222735,4ca0c36f5a2a0683e33ac4c768274c9c68779fdc,[5],76561198023455525,True,,,52,61,85.24590163934425
570,Dota 2,162784,0bbb630d63262dd66d2fdd0f7d37e8661a410075,[5],76561197986603983,,,,0,0,0.0
2231040,Coloring Game: Studio,157055,6423796f20d32ad6d22d56f8f001ff7fc381a722,,76561198048165534,True,,,41,152,26.973684210526315
433850,Z1 Battle Royale,147224,aee7491abfd812e2fbb4ec3326ad5f4b85c8137a,"[2, 5]",76561198023414915,,,,0,0,0.0
730,Counter-Strike 2,145088,8dbc71957312bbd3baea65848b545be9eae2a355,"[2, 5]",76561198046160451,True,,,1,1,100.0
1290880,Coloring Game: Girls,142335,b59e85ba2ade951709f0943e18c88d4627bb093f,"[1, 3, 5, 4]",76561198048165534,True,,,55,55,100.0
238960,Path of Exile,139048,1110764aac57ac28d7ffd8c43071c75d5482a9c9,"[1, 2, 5]",76561198014898339,True,,,56,127,44.09448818897638
1593500,God of War,127906,8aa5e7e0e55cad682c7f2e65e075c3bc04dfc1cb,"[2, 5]",76561198014898339,True,,,7,37,18.91891891891892
227300,Euro Truck Simulator 2,118865,adc18a4fc9adc0330144b76d61cbda68bb2394a0,,76561198062673538,True,,,100,106,94.33962264150944
1938090,Call of Duty®,110140,8eaf32220060344996cbf11f697a4f4be943e5f3,"[2, 5]",76561198048165534,True,,1363.0,12,157,7.643312101910828
440,Team Fortress 2,108586,f568912870a4684f9ec76277a1a404dda6bab213,,76561197986603983,True,True,,69,520,13.26923076923077
1258080,Shop Titans,97700,6c5cd1a46f20d47fa104afbf9f77a365e4cf4a6d,,76561198023455525,True,,,83,94,88.29787234042553
1709920,Idle Pins,97622,72878e9a5bc5664501d3600c34188c55e81ddf02,,76561198023455525,True,,,27,35,77.14285714285715
1173830,Coloring Game: Pixel,94750,72b158b837edf2665da6d3d9a51d66936006f00b,,76561198048165534,True,,,60,60,100.0
1151340,Fallout 76,90759,81185120c1c1a4b26442828b25bbb58aec8d734c,"[2, 5]",76561197986603983,True,,38.0,72,72,100.0
440,Team Fortress 2,90569,f568912870a4684f9ec76277a1a404dda6bab213,,76561198067053149,True,True,,350,520,67.3076923076923
730,Counter-Strike 2,90010,8dbc71957312bbd3baea65848b545be9eae2a355,"[2, 5]",76561197986603983,True,,,0,1,0.0
371710,Age of Castles: Warlords,89466,f49c8006b3c7f629a0f3205f91c205c0d586a2fc,,76561198014898339,,,,0,0,0.0
1063730,New World: Aeternum,88755,672e6cf0670022bc9222af15e5f8cd4b21872d1b,"[2, 5]",76561198023414915,True,,,66,133,49.62406015037594
730,Counter-Strike 2,84549,8dbc71957312bbd3baea65848b545be9eae2a355,"[2, 5]",76561198212206651,True,,20.0,1,1,100.0
816490,Hidden Paws,82262,9097bfa9ee43eee76b5a79684fac08f09814b0c9,,76561198014898339,True,,,0,10,0.0
306130,The Elder Scrolls Online,81465,2a0f43963c08a3755682adb2369918c9ad07ef1b,"[1, 2, 5]",76561198023414915,,,,0,0,0.0
466170,Idling to Rule the Gods,79505,e5cf44039bd3cd934c0e8f4730599d97d424ee0c,,76561198014898339,True,True,,10,77,12.987012987012985
463440,Retool,75596,20c650d74b1c685a4c0a1ab5bdc0c30bf0af791e,,76561198014898339,True,,,0,8,0.0
359550,Tom Clancy's Rainbow Six® Siege X,75118,624745d333ac54aedb1ee911013e2edb7722550e,[5],76561197984432884,True,,,0,48,0.0
385770,Time Clickers,74129,7eaca926a86cd223e1e3e18b26ae4d03bbe9f755,,76561198048165534,True,,,93,99,93.93939393939394
374950,ADventure Lib,73772,130668a6fd4051f75454dd63eabd8ab9391e70bf,,76561198014898339,True,,,0,10,0.0
2051620,Enlisted,73375,aab3d3acc8f23fc838d252809aaf654b2ccbcca2,[5],76561197986603983,True,,1114.0,60,60,100.0
1611540,Magic Frame,73030,251c8aa12c9a8ba577312e865622835bf042b539,,76561198014898339,,,,0,0,0.0
215280,Secret World Legends,72925,8a5e538dc4a0a2eb2e169120cb395a4aa018e9c7,,76561198023455525,,,,0,0,0.0
2492040,FATAL FURY: City of the Wolves,71724,dfac9b5718aad52aabf5992758d289418d8185d3,,76561198048165534,True,,300.0,31,42,73.80952380952381
1267910,Melvor Idle,71551,88eca64c662c128de095b4e452881398ac71969c,,76561198023455525,True,,,81,86,94.18604651162791
553830,100 nya,70750,579034d718dd7e09f3d66ee1d5e5e513033c3947,,76561198014898339,,,,0,0,0.0
619400,Fluffy Creatures VS The World,70721,818016bcc3ccd46153026960121e74bc91165cd6,,76561198014898339,True,,,0,3,0.0
2923300,Banana,70636,95e84fe8416438b23f3ddf850f85f3a2ca7eba83,,76561198014898339,True,,,76,76,100.0
1361210,"Warhammer 40,000: Darktide",70140,c4e0990ff034cf6c48fb96649229e6362b866629,"[2, 5]",76561197986603983,True,,,36,36,100.0
730,Counter-Strike 2,68630,8dbc71957312bbd3baea65848b545be9eae2a355,"[2, 5]",76561198067053149,True,,,0,1,0.0
1522560,100 hidden mice,68314,335abc5882063bd08732af314683e2eb7e8f3534,,76561198014898339,True,,,100,100,100.0
270880,American Truck Simulator,67709,2aec8af4b4b23cb6054d9aea06194621cdd66945,,76561198014898339,True,,,97,126,76.98412698412699
423800,Automata Empire,67628,3be50d73a4d5cb206753ceba39c6197b62a9196e,,76561198014898339,True,True,,0,21,0.0
1679320,100 hidden cats 2,67404,5ca3f92ab9e7d84d253d33781d1ce211857ba70c,,76561198014898339,True,,,100,100,100.0
1932230,100 hidden hares,67108,9e8e72fe707fb87181fb426352874734bc118c34,,76561198014898339,True,,,100,100,100.0
434620,Pythagoria,66719,41cb3244ff8a958e7aa486c2afb7df5986c10eda,,76561198014898339,True,,,0,5,0.0
1480120,100 hidden eternals,66497,1a51ee69c5d2911f988541e0838bca91afdaef63,,76561198014898339,True,,,100,100,100.0
271590,Grand Theft Auto V Legacy,66136,1e72f87eb927fa1485e68aefaff23c7fd7178251,[5],76561197986603983,True,,,54,77,70.12987012987013
388060,The Escapists: The Walking Dead,65783,9e620c7890016e984f785ccfd827ed148087dc45,,76561198014898339,True,True,,0,24,0.0
370780,Fated Souls,65662,d93d0b1a1a02fd2ec7ce61cd92e85bf3fbb4d22e,,76561198014898339,True,,,0,17,0.0
579150,Riot of the numbers,65583,4822e9e41eb1bbfb8e698d54a9b87d8ed28311cf,,76561198014898339,,,,0,0,0.0
232090,Killing Floor 2,65496,15837cefb378766e9916548f8591b6eb490b9e52,,76561197986603983,True,,,307,307,100.0
508840,Broken Armor,65359,268646e47aff0039b23647fb57ad89a3a4d18047,,76561198014898339,True,True,,0,22,0.0
1919040,Winter,64770,afe614b52196080400533d1ece532a7c14b4fb37,,76561198014898339,True,,,0,24,0.0
1836160,PANELKI,64630,9d03ba0237068ac1d5ccb11b3050e805643ab888,,76561198014898339,True,,,0,16,0.0
1766790,100 hidden birds 2,64211,e160512a8dda2378e680fb2055e034bafae75a62,,76561198014898339,True,,,100,100,100.0
1471530,100 hidden gnomes,64135,b3f44f453797dece9576f2bdbe6198ec2041d416,,76561198014898339,True,,,100,100,100.0
614910,#monstercakes,64062,c6f1651397f184591392261660b11ac2aa03d694,,76561198014898339,True,True,,118,118,100.0
244070,Sid Meier's Ace Patrol,63957,b76a0c841711b4d63edfb8319da34475cc48bc3f,,76561198014898339,True,,,0,52,0.0
364700,Dawn of the Plow,63877,69c12487821c53e40eafe5102c82504990d386e4,,76561198014898339,True,,,0,15,0.0
453880,Ninja Outbreak,63426,d410b3ac4ec9a310c68e510ddb9c97dd5ac968f4,,76561198014898339,True,,,0,6,0.0
509110,Spikit,63416,a46ff9ca46eff0f08ae70e63a4d07292528e704c,,76561198014898339,True,,,0,6,0.0
335900,Angels of Fasaria: Version 2.0,63367,ba419f65dcd313bd05ab1042384d5829e0a2d445,,76561198014898339,True,,,0,1,0.0
468490,Neon Space,63192,4f6ca05d7cadc0b911fd92237232615db151ae88,,76561198014898339,True,,,0,14,0.0
551930,Skater 2D,63177,f5c075488e7285dffef3b8f898c2654372a61fa2,,76561198014898339,,,,0,0,0.0
327090,Out of Reach,63151,28c4603edab416c6a24907470aed22fe94671384,[5],76561198014898339,True,,,0,44,0.0
547960,Space Beret,63066,0753aaaeae7ff9dd2c0b550b434d96c1e530de8e,,76561198014898339,True,,,1,3,33.33333333333333
329690,BasketBelle,63050,bec109edd28913ef4e449f876b3694607f617157,,76561198014898339,True,,,0,4,0.0
600280,Supreme Ruler The Great War,62989,bcff532c16d932f7167d255ee366434bad26d143,,76561198014898339,True,,,0,20,0.0
428430,Endorlight,62869,158085b65bb4e2404fc7ae64d9dfe5f590eb2462,,76561198014898339,True,True,,0,0,0.0
1473050,100 hidden birds,62831,640266ea25bfc8b38ee0dcccfd36fb3a0618806a,,76561198014898339,True,,,96,100,96.0
410210,Ampersand,62786,de25f0cded9a0330950df2d6b82cfd49ea0a23b6,,76561198014898339,,,,0,0,0.0
1230560,Cyber Attack,62738,0c20535c51998411e959a89a29978c736981731b,,76561198014898339,True,,,0,9,0.0
460960,The Deed: Dynasty,62655,68d817a51a08c82a0afffa3008b33c38e5119ffe,"[2, 5]",76561198014898339,True,,,0,53,0.0
610250,Glitch's Trip,62604,a620bb982b87e8cda67dede5eb271453c855c04c,,76561198014898339,True,,,0,34,0.0
1386730,Wordle 2,62598,5426f0ebd2e055ff6ebde6c55f58f946e027849b,,76561198014898339,True,,,0,20,0.0
466870,Aurora Nights,62472,bbb35ff679a9b980d1e2a8eb8b821ebd177c1698,,76561198014898339,True,,,0,5,0.0
1841390,100 hidden fish,62464,1b65dbb59592e2a560b2aab12de571668db9788e,,76561198014898339,True,,,0,100,0.0
521130,Dots eXtreme,62450,795c7dde470f8e0f95c6bd9edd0da3ad32cf412e,,76561198014898339,True,True,,0,9,0.0
503820,A Detective's Novel,62443,69a39477c3418ede5f976b63fcdfb9633ca67ce6,,76561198014898339,,,,0,0,0.0
1587560,100 hidden cats,62363,81f394288fdc10b39a2732c0bac7d0cec150b338,,76561198014898339,True,,,100,100,100.0
359550,Tom Clancy's Rainbow Six® Siege X,62281,624745d333ac54aedb1ee911013e2edb7722550e,[5],76561197986603983,True,,,0,48,0.0
1567440,inbento,62263,89c1bd73dd55934bde32d772ccb5dd81a46c2e6c,,76561198014898339,True,,,0,15,0.0
601220,Zup! F,62247,a13c5172e3e4940f289a3695fd9342ac53b1f749,,76561198014898339,True,,,205,640,32.03125
420740,The Deed,62167,39d10c70200e26356e7ca7c5cd4ec9b9a7381200,"[2, 5]",76561198014898339,True,,,0,17,0.0
1029690,Sniper Elite 5,62071,00bce3b25aed4dfd96e864e03dd315448dcb834b,"[2, 5]",76561198014898339,True,,,0,71,0.0
305760,Redirection,62029,6acfa9df6f58ef45603c5b0a9d7c35d56b0f2b91,,76561198014898339,True,True,,0,21,0.0
