appid,name,developer,genres_steam,price,release_year,metacritic_score,total_recommendations,is_free,country,genre
371400,Downpour,Modesto A. Rabena,"Acción, Indie, Simuladores",0.99,2015,0,0,False,Filipinas,Acción
211400,Deadlight,"Tequila Works, S.L.","Acción, Aventura, Indie",11.99,2012,78,9351,False,España,Acción
434160,A Hole New World,MadGearGames,"Acción, Indie",9.99,2017,0,0,False,Estados Unidos,Acción
223470,POSTAL 2,Running With Scissors,"Acción, Aventura, Indie",9.75,2012,59,110547,False,Estados Unidos,Acción
220740,Chaos on Deponia,Daedalic Entertainment,"Aventura, Indie",19.99,2012,78,2323,False,Alemania,Aventura
1188680,The Political Machine 2020,Stardock Entertainment,"Indie, Simuladores, Estrategia",0.0,2020,0,688,False,Estados Unidos,Estrategia
31820,Nancy Drew®: The Haunted Carousel,HeR Interactive,Aventura,9.75,2009,85,230,False,Estados Unidos,Aventura
21090,F.E.A.R.,"Monolith Productions, Inc.",Acción,8.99,2010,88,13316,False,México,Acción
233290,Murdered: Soul Suspect,Airtight Games,"Acción, Aventura, Rol",19.99,2014,59,11759,False,España,Acción
329320,QbQbQb,Rezoner,"Acción, Casual, Indie",3.99,2014,0,0,False,España,Acción
31910,Nancy Drew®: The Haunting of Castle Malloy,HeR Interactive,Aventura,9.75,2009,81,197,False,Estados Unidos,Aventura
467330,Just a Cleric,DXF Games,"Acción, Indie, Rol",4.99,2016,0,0,False,España,Acción
1172710,Dune: Awakening,Funcom,"Acción, Aventura, Multijugador masivo, Rol",29.99,2025,0,62758,False,Noruega,Acción
470060,1917 - The Alien Invasion DX,Andrade Games,"Acción, Indie",3.99,2016,0,111,False,Brasil,Acción
551110,Wayout,Konstructors,"Casual, Indie",1.99,2016,0,975,False,España,Acción
539460,Puzzle Cube,ThinkOfGames,"Casual, Indie",1.99,2016,0,153,False,España,Acción
368500,Assassin's Creed® Syndicate,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios","Acción, Aventura",9.99,2015,74,29968,False,Canadá,Acción
398900,Fjall,dimecoin,"Acción, Casual, Indie",2.99,2015,0,0,False,Suiza,Acción
507490,Ashes of the Singularity: Escalation,Stardock Entertainment,"Simuladores, Estrategia",26.99,2016,81,2658,False,Estados Unidos,Estrategia
71260,Space Channel 5: Part 2,SEGA,Acción,0.0,2011,0,1428,False,Japón,Acción
475240,ORCS,Pixel vs Pixel,"Acción, Aventura, Indie",1.99,2016,0,376,False,Reino Unido,Acción
627950,1914: Prelude to Chaos,Amaterasu Software,Rol,0.99,2017,0,109,False,Japón,Acción
301150,The Treasures of Montezuma 4,Alawar Entertainment,"Aventura, Casual, Indie",6.99,2014,0,644,False,Alemania,Aventura
3240220,Grand Theft Auto V Enhanced,Rockstar North,"Acción, Aventura, Carreras",29.99,2025,0,149497,False,Escocia,Acción
523650,Lust for Darkness,Movie Games Lunarium,"Aventura, Indie",14.99,2018,50,3938,False,España,Aventura
788480,Changeover: Decisions,KHB-Soft,"Acción, Aventura, Indie",1.59,2018,0,0,False,España,Acción
494360,Barrow Hill: Curse of the Ancient Circle,Shadow Tor Studios,"Aventura, Indie",7.79,2016,0,173,False,España,Aventura
496950,The Slingshot VR,Funny Twins,"Acción, Casual, Indie, Simuladores",1.59,2016,0,0,False,España,Acción
351470,Sometimes: Success Requires Sacrifice,Volens Nolens Games,"Acción, Aventura, Casual, Indie, Estrategia",0.0,2015,0,138,True,España,Acción
6880,Just Cause,Avalanche Studios,Acción,6.99,2007,75,4409,False,Estados Unidos,Acción
719100,Space Way,RewindApp,"Casual, Indie",0.55,2017,0,0,False,España,Acción
349500,Cubicle Quest,Ian Isaro,"Indie, Rol, Simuladores",4.99,2015,0,550,False,Kenia,Rpg
645090,Zup! 5,Quiet River,"Casual, Indie",1.99,2017,0,2801,False,Suiza,Acción
935580,True Fear: Forsaken Souls Part 2,Goblinz Enterprises Ltd,"Aventura, Casual",9.99,2018,0,763,False,Reino Unido,Aventura
493980,Green Ranch,Palaplay,Casual,0.49,2016,0,0,False,Suiza,Acción
40400,AI War: Fleet Command,Arcen Games,"Indie, Estrategia",2.43,2009,80,984,False,Holanda,Estrategia
892970,Valheim,Iron Gate AB,"Acción, Aventura, Indie, Rol, Acceso anticipado",9.99,2021,0,446877,False,Suecia,Acción
3308870,and Roger,TearyHand Studio,"Aventura, Casual, Indie, Simuladores",4.99,2025,0,1902,False,España,Aventura
784050,Filthy Hands,Globiss Interactive,"Violencia, Acción, Casual, Indie, Acceso anticipado",3.99,2018,0,0,False,España,Acción
11230,Gumboy Tournament,CINEMAX GAMES,"Casual, Indie, Carreras",0.59,2008,0,303,False,México,Acción
1763250,SWORN,Windwalk Games,"Acción, Indie, Rol",24.99,2025,0,3243,False,España,Acción
458450,GAIN,Worldgame entertainement,"Acción, Indie",4.99,2016,0,0,False,España,Acción
348270,Social Justice Warriors,Nonadecimal Creative,"Casual, Indie, Rol, Simuladores",7.79,2015,0,0,False,España,Simulación
1114220,Gedonia,Kazakov Oleg,Rol,1.47,2022,0,3535,False,Rusia,Acción
677730,Karmasutra,Top Hat Curios,"Aventura, Casual, Indie, Rol",14.99,2017,0,0,False,Reino Unido,Aventura
544140,Murder Mystery Adventure,EnsenaSoft,"Aventura, Indie",3.99,2016,0,0,False,México,Aventura
315940,Top Hat,N94Games,"Acción, Aventura, Indie",0.99,2014,0,0,False,Hong Kong,Acción
