appid,name,developer,genres_steam,price,release_year,metacritic_score,total_recommendations,is_free,genre,country
371400,Downpour,Modesto A. Rabena,"Acción, Indie, Simuladores",0.99,2015,0,0,False,Acción,Filipinas
211400,Deadlight,"Tequila Works, S.L.","Acción, Aventura, Indie",11.99,2012,78,9351,False,Acción,España
434160,A Hole New World,MadGearGames,"Acción, Indie",9.99,2017,0,0,False,Acción,Desconocido
223470,POSTAL 2,Running With Scissors,"Acción, Aventura, Indie",9.75,2012,59,110547,False,Acción,Desconocido
220740,Chaos on Deponia,Daedalic Entertainment,"Aventura, Indie",19.99,2012,78,2323,False,Aventura,Alemania
1188680,The Political Machine 2020,Stardock Entertainment,"Indie, Simuladores, Estrategia",0.0,2020,0,688,False,Estrategia,Estados Unidos
31820,Nancy Drew®: The Haunted Carousel,HeR Interactive,Aventura,9.75,2009,85,230,False,Aventura,Canadá
21090,F.E.A.R.,"Monolith Productions, Inc.",Acción,8.99,2010,88,13316,False,Acción,Estados Unidos
233290,Murdered: Soul Suspect,Airtight Games,"Acción, Aventura, Rol",19.99,2014,59,11759,False,Acción,Desconocido
329320,QbQbQb,Rezoner,"Acción, Casual, Indie",3.99,2014,0,0,False,Acción,Desconocido
31910,Nancy Drew®: The Haunting of Castle Malloy,HeR Interactive,Aventura,9.75,2009,81,197,False,Aventura,Canadá
467330,Just a Cleric,DXF Games,"Acción, Indie, Rol",4.99,2016,0,0,False,Acción,Desconocido
1172710,Dune: Awakening,Funcom,"Acción, Aventura, Multijugador masivo, Rol",29.99,2025,0,62758,False,Acción,Noruega
470060,1917 - The Alien Invasion DX,Andrade Games,"Acción, Indie",3.99,2016,0,111,False,Acción,Desconocido
551110,Wayout,Konstructors,"Casual, Indie",1.99,2016,0,975,False,Acción,España
539460,Puzzle Cube,ThinkOfGames,"Casual, Indie",1.99,2016,0,153,False,Acción,Desconocido
368500,Assassin's Creed® Syndicate,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios","Acción, Aventura",9.99,2015,74,29968,False,Acción,Francia
398900,Fjall,dimecoin,"Acción, Casual, Indie",2.99,2015,0,0,False,Acción,Desconocido
507490,Ashes of the Singularity: Escalation,Stardock Entertainment,"Simuladores, Estrategia",26.99,2016,81,2658,False,Estrategia,Estados Unidos
71260,Space Channel 5: Part 2,SEGA,Acción,0.0,2011,0,1428,False,Acción,Japón
475240,ORCS,Pixel vs Pixel,"Acción, Aventura, Indie",1.99,2016,0,376,False,Acción,Desconocido
627950,1914: Prelude to Chaos,Amaterasu Software,Rol,0.99,2017,0,109,False,Acción,Japón
301150,The Treasures of Montezuma 4,Alawar Entertainment,"Aventura, Casual, Indie",6.99,2014,0,644,False,Aventura,República Checa
3240220,Grand Theft Auto V Enhanced,Rockstar North,"Acción, Aventura, Carreras",29.99,2025,0,149497,False,Acción,Escocia
523650,Lust for Darkness,Movie Games Lunarium,"Aventura, Indie",14.99,2018,50,3938,False,Aventura,Francia
788480,Changeover: Decisions,KHB-Soft,"Acción, Aventura, Indie",1.59,2018,0,0,False,Acción,Desconocido
494360,Barrow Hill: Curse of the Ancient Circle,Shadow Tor Studios,"Aventura, Indie",7.79,2016,0,173,False,Aventura,Desconocido
496950,The Slingshot VR,Funny Twins,"Acción, Casual, Indie, Simuladores",1.59,2016,0,0,False,Acción,Desconocido
351470,Sometimes: Success Requires Sacrifice,Volens Nolens Games,"Acción, Aventura, Casual, Indie, Estrategia",0.0,2015,0,138,True,Acción,Desconocido
6880,Just Cause,Avalanche Studios,Acción,6.99,2007,75,4409,False,Acción,Estados Unidos
719100,Space Way,RewindApp,"Casual, Indie",0.55,2017,0,0,False,Acción,Desconocido
349500,Cubicle Quest,Ian Isaro,"Indie, Rol, Simuladores",4.99,2015,0,550,False,Rpg,Desconocido
645090,Zup! 5,Quiet River,"Casual, Indie",1.99,2017,0,2801,False,Acción,Desconocido
935580,True Fear: Forsaken Souls Part 2,Goblinz Enterprises Ltd,"Aventura, Casual",9.99,2018,0,763,False,Aventura,Desconocido
493980,Green Ranch,Palaplay,Casual,0.49,2016,0,0,False,Acción,Dinamarca
40400,AI War: Fleet Command,Arcen Games,"Indie, Estrategia",2.43,2009,80,984,False,Estrategia,Bélgica
892970,Valheim,Iron Gate AB,"Acción, Aventura, Indie, Rol, Acceso anticipado",9.99,2021,0,446877,False,Acción,Suecia
3308870,and Roger,TearyHand Studio,"Aventura, Casual, Indie, Simuladores",4.99,2025,0,1902,False,Aventura,Desconocido
784050,Filthy Hands,Globiss Interactive,"Violencia, Acción, Casual, Indie, Acceso anticipado",3.99,2018,0,0,False,Acción,Desconocido
11230,Gumboy Tournament,CINEMAX GAMES,"Casual, Indie, Carreras",0.59,2008,0,303,False,Aventura,Desconocido
1763250,SWORN,Windwalk Games,"Acción, Indie, Rol",24.99,2025,0,3243,False,Acción,Desconocido
458450,GAIN,Worldgame entertainement,"Acción, Indie",4.99,2016,0,0,False,Acción,Desconocido
348270,Social Justice Warriors,Nonadecimal Creative,"Casual, Indie, Rol, Simuladores",7.79,2015,0,0,False,Simulación,Desconocido
1114220,Gedonia,Kazakov Oleg,Rol,1.47,2022,0,3535,False,Acción,Rusia
677730,Karmasutra,Top Hat Curios,"Aventura, Casual, Indie, Rol",14.99,2017,0,0,False,Aventura,Desconocido
544140,Murder Mystery Adventure,EnsenaSoft,"Aventura, Indie",3.99,2016,0,0,False,Aventura,Desconocido
315940,Top Hat,N94Games,"Acción, Aventura, Indie",0.99,2014,0,0,False,Acción,Desconocido
1577750,Hamster All-Stars,Sokpop Collective,"Casual, Simuladores, Deportes",2.99,2021,0,0,False,Simulación,Desconocido
585920,Puzzle One,Portponky,"Casual, Indie",0.99,2017,0,0,False,Acción,Desconocido
545200,Super Blackjack Battle 2 Turbo Edition - The Card Warriors,Stage Clear Studios,"Casual, Deportes",1.55,2017,0,0,False,Deportes,Desconocido
1444300,Teacup,Smarto Club,"Aventura, Casual, Indie",8.19,2021,0,702,False,Aventura,Desconocido
446480,New York Bus Simulator,Little Freedom Factory,Simuladores,2.99,2016,0,0,False,Simulación,Desconocido
352620,Porcunipine,Big Green Pillow,"Acción, Indie",0.99,2015,0,0,False,Acción,Desconocido
416080,The Odyssey: Winds of Athena,Liquid Dragon Studios,"Acción, Aventura, Indie, Simuladores, Estrategia",4.99,2015,0,470,False,Aventura,Desconocido
1129660,Runefall 2,Playcademy,Casual,8.19,2019,0,0,False,Acción,Desconocido
1011390,Field of Glory: Empires,Ageod,Estrategia,38.99,2019,76,725,False,Estrategia,Desconocido
2277320,Necrosmith 2,Alawar,"Aventura, Indie, Simuladores, Estrategia",7.79,2024,0,1217,False,Aventura,República Checa
332790,Darkness Assault,Black Lime Studio,"Violencia, Sangrientos, Acción, Indie",0.99,2015,0,570,False,Acción,Desconocido
242820,140,Carlsen Games,"Acción, Indie",4.99,2013,80,2034,False,Acción,Desconocido
747620,Joggernauts,Space Mace,"Acción, Indie",14.99,2018,0,0,False,Acción,Desconocido
1062090,Timberborn,Mechanistry,"Indie, Simuladores, Estrategia, Acceso anticipado",33.99,2021,0,33668,False,Estrategia,Desconocido
603130,Masked Shooters,Nightbinder,"Acción, Indie",29.99,2017,0,134,False,Acción,Desconocido
242980,Daikatana,Desconocido,Acción,5.99,2013,0,769,False,Acción,Desconocido
992910,The Black Masses,Brilliant Game Studios,"Acción, Aventura, Indie, Rol",9.75,2024,0,1112,False,Acción,Desconocido
341090,On A Roll 3D,Battenberg Software,"Acción, Aventura, Casual, Indie",3.99,2015,0,0,False,Aventura,Reino Unido
668510,Kartofank VR,VIRTUAL REALITY LABORATORY DV,"Acción, Aventura, Casual, Indie, Simuladores, Deportes",1.99,2017,0,0,False,Aventura,Desconocido
388660,Project Tarvotan,FlagmanJeremy,"Indie, Simuladores, Estrategia",0.49,2015,0,0,False,Estrategia,Desconocido
679190,The Hunting God,Tonguç Bodur,"Aventura, Casual, Indie",0.99,2017,0,140,False,Aventura,Turquía
1250220,Fallen Region,WayUpGames,"Acción, Aventura, Indie, Simuladores",0.79,2020,0,150,False,Aventura,Desconocido
366760,Adorables,White Rabbit,"Casual, Indie, Deportes, Estrategia",2.99,2016,0,210,False,Estrategia,Desconocido
262300,Tsukumogami,TORaIKI,"Aventura, Indie, Rol",28.99,2012,0,0,False,Aventura,Japón
453290,Awareness Rooms,GAME NA KIBUN,"Aventura, Indie",0.99,2016,0,525,False,Aventura,Japón
253610,Wrack,Final Boss Entertainment,"Acción, Indie",9.99,2014,66,333,False,Acción,Desconocido
818730,Tower climber,lastgame,"Aventura, Casual, Indie",0.99,2018,0,122,False,Aventura,Desconocido
2591500,Sex Simulator - Office Promotion,EroticGamesClub,"Aventura, Casual, Indie",3.99,2023,0,0,False,Aventura,Desconocido
705740,Car Demolition Clicker,Blue Sunset Games,"Acción, Casual, Indie",0.73,2018,0,158,False,Acción,Desconocido
