appid,name,developer,genres_steam,price,country,genre,release_year,metacritic_score,total_recommendations,is_free
843440,Pivot XL,Adamvision Studios,"Acción, Casual, Indie",0.99,,,2018,0,170,False
395250,The Adventures of Fatman,SOCKO! Entertainment,"Aventura, Indie",0.99,,,2015,0,157,False
446610,Bunny Bounce,Dharker Studios,"Aventura, Casual, Indie",0.69,,,2017,0,0,False
1079310,Elemental Girls,Zloy Krot Studio,"Casual, Indie",0.49,,,2019,0,339,False
826180,EONIA,GEOMETRIC BYTES,"Acción, Aventura, Indie, Rol",4.99,,,2019,0,0,False
575840,NeverEnd,Duck,"Aventura, Indie",1.99,,,2017,44,0,False
359250,City of Fools,Absolutist Ltd.,"Aventura, Casual, Indie",7.99,,,2015,0,0,False
58520,Blood Bowl - Legendary Edition,Cyanide Studios,"Deportes, Estrategia",9.99,,,2010,73,738,False
360010,Remnants Of Isolation,Team Isolation,"Casual, Indie, Rol",4.99,,,2015,0,0,False
474830,Time in Time,ErayTek,"Casual, Indie, Estrategia",0.99,,,2017,0,110,False
1168660,Barro 2020,SC Jogos,"Casual, Indie, Carreras, Simuladores, Deportes",0.49,,,2019,0,1846,False
610080,Realm Grinder,Divine Games,"Free to Play, Rol, Estrategia",0.0,,,2017,0,0,True
521590,Subterra,Warfare Studios,"Acción, Aventura, Indie, Rol",1.99,,,2017,0,104,False
536770,THE AWKWARD STEVE DUOLOGY,"Oh, a Rock! Studios","Aventura, Casual, Indie",3.99,,,2017,0,0,False
50,Half-Life: Opposing Force,Gearbox Software,Acción,4.99,,,1999,0,24098,False
4020850,Dungeon Devotion,Pink Tea,Casual,2.99,,,2025,0,162,False
372160,Soviet Monsters: Ekranoplans,santasco.com,"Simuladores, Estrategia",1.49,,,2016,0,0,False
12810,Overlord II,Triumph Studios,Rol,8.99,,,2009,79,3864,False
863550,HITMAN™ 2,IO Interactive A/S,Acción,0.0,,,2018,82,31393,False
31800,Nancy Drew®: Danger by Design,HeR Interactive,Aventura,9.75,,,2009,70,164,False
1515320,Harvest Days: My Dream Farm,Family Devs,"Aventura, Indie, Rol, Simuladores",5.99,,,2024,0,149,False
815070,The Adventurous Four,NLB project,"Aventura, Casual, Indie",0.79,,,2018,0,0,False
543360,Relaxation balls,DIAMOND FOX,"Acción, Aventura, Casual, Indie, Simuladores",0.0,,,2016,0,0,False
203160,Tomb Raider Game of the Year,Crystal Dynamics,"Acción, Aventura",19.99,,,2013,86,166835,False
375910,Anno 2205™,Blue Byte,"Simuladores, Estrategia",5.99,,,2015,72,6018,False
355100,Dungeon Crawlers HD,Drowning Monkeys Games,"Indie, Rol, Estrategia",4.99,,,2015,0,0,False
33100,Alien Shooter,Sigma Team Inc.,"Acción, Indie, Rol",4.99,,,2009,0,3752,False
351940,The Descendant,Gaming Corps AB,"Aventura, Casual, Indie",14.99,,,2016,59,589,False
601180,Doug and Lily,the_dobrokot,"Acción, Aventura, Indie",0.49,,,2017,0,0,False
534570,Survival Kingdom,Bat Byte,"Indie, Estrategia",2.99,,,2016,0,0,False
997070,Marvel's Avengers - La edición definitiva,Crystal Dynamics,"Acción, Aventura, Rol",0.0,,,2020,0,24077,False
253940,Septerra Core,Desconocido,Rol,7.79,,,2013,70,570,False
594810,Color Jumper,Tallbeard Studios LLC,"Acción, Indie",0.99,,,2017,0,0,False
303390,Dead Bits,Microblast Games,"Acción, Casual, Indie",0.49,,,2014,0,3417,False
233450,Prison Architect,Introversion Software,"Indie, Simuladores, Estrategia",24.99,,,2015,83,59487,False
389190,Goblins and Grottos,Psychic Software,"Acción, Aventura, Casual, Indie",7.39,,,2016,0,0,False
363520,Goliath,Whalebox Studio,"Acción, Aventura, Indie, Rol",11.79,,,2016,57,196,False
684430,JU,张公子,Indie,2.99,,,2017,0,0,False
447850,The Next Door,Labory,"Aventura, Casual, Indie",4.99,,,2016,0,309,False
796380,Terra Feminarum,Polar Night Games,"Acción, Indie",0.0,,,2018,0,0,True
234650,Shadowrun Returns,Harebrained Schemes,"Aventura, Indie, Rol, Estrategia",14.99,,,2013,76,9412,False
441870,OutDrive,DNVR Prod,"Casual, Indie, Carreras",2.99,,,2016,0,3621,False
606690,Ecchi Sketch: Draw Cute Girls Every Day!,NewWestGames,Indie,9.99,,,2017,0,0,False
200260,Batman: Arkham City - Game of the Year Edition,Rocksteady Studios,"Acción, Aventura",3.99,,,2012,91,52994,False
797350,Fantasy Mosaics 25: Wedding Ceremony,Andy Jurko,"Casual, Indie, Estrategia",6.99,,,2018,0,0,False
346040,Joe's Diner,VIS-Games,"Acción, Aventura, Indie",4.99,,,2015,0,118,False
91900,Post Apocalyptic Mayhem,Steel Monkeys,"Acción, Carreras",9.99,,,2011,44,768,False
32140,Midnight Mysteries,MumboJumbo,"Aventura, Casual",9.99,,,2009,0,0,False
